"CLOSEDDATE","DESCRIPTION","CLOSED","CASE_REASON","STATUS","SUBJECT","COMPANY_NR","LCM_COMPLAINT_NUMBER","LCM_CUSTOMER_NUMBER","CREATED_IN_LCM","OWNER_LCM"
"","Doppelt mit Gevo-Nr. 1322428",1,"Service","Closed","Doppelt mit Gevo-Nr. 1322428",20990391,"1001911",3634279436,"10.03.2015","Gabriela Manser"
"","gem: tel mit Frau margelisch war die Adresse immer noch falsch, sie hat im dez angerufen und die änderungen durch gegeben, leider nicht geändert, somit will sie die RG nicht begleichen.",1,"Bill","Closed","Rechnung",20990743,"1000571",3389637629,"23.01.2015","Paloma Escurriola"
"","gem. tel mit Frau Magelisch ist hier die Adresse immer noch falsch und sie hat das uns im Dezember schon gemeldet, vorher auch schon mehrere male. Wurde aber nichts geändert.",1,"Product","Closed","Rechnung",20990743,"1000572",3389637629,"23.01.2015","Paloma Escurriola"
"","0",1,"Contract","Closed","Vertrag",20990743,"1001557",3389637629,"24.02.2015","Paloma Escurriola"
"19.06.2015","16.06.2015 / Annahme ESK1 / Reto Z.
KUBE Bertschinger hat per Email gemeldet dass der Banner nciht richtig ersetzt wurde.",1,"Contract","Closed","Vertrag nicht richtig ersetzt",20999342,"1004508",3265147029,"16.06.2015","Reto Zimmermann"
"","Gem Tel Herr Senn hat ihn ein ADM (leider wusste er den Namen nicht mehr) schon zweimal kontaktiert für Produkte von local.ch. Er hat jedesmal gesagt das er nicht interessiert ist. Gem. KD hat im das zweitemal der ADM gesagt:
""Wollen sie nicht mehr auffindbar sein, dann löschen wir alle ihre EI"" (so sagte KD). KD hat uns kontaktiert weil der ADM frech war und auch weil er angst hatte das jetzt seine EI gelöscht werden. Er hatte noch nie probleme mit uns und hat uns in den Höchsten tönen gelobt. Er konnte uns lediglich die Telnr ( 079 939 08 88) geben. Ich weiss nicht ob es wirklich ein ADM von uns ist, habe jedoch nichts gefunden im Intranet und Outlook.",1,"Service","Closed","Reklamation wegen ADM",21008114,"1001219",3512527102,"12.02.2015","Evelyn Frieden"
"14.04.2015","Madame Borcard nous appel au nom de Monsieur Goumaz et nous informe qu'ils ont reçu la facture à CHF 62.70 sur la facture de Swisscom et que Monsieur Goumaz n'a jamais commandé les inscriptions professionnelles.
Le client attend les preuves/contrats signé par lui.",1,"Bill","Closed","Client dit de n'avoir jamais commandé les inscriptions professionnelles",21019581,"1002629",3833246309,"14.04.2015","Ipek Kaya"
"20.02.2015","gem tel mit Frau Cuoco, habe Rgkorre an Swisscom  gesendet, da überall das Wort Fax gelöscht worden ist, der nicht gelöscht werden musste. diese Nummer ist weiterhin eine Faxnummer.
im LCM habe ich keine Bemerkung gefunden und im NX kein Supply. 
AU an BO gesendet, um es rückgängig zu machen.",1,"Bill","Closed","Mutgebühren storniert auf der Swisscom Rechnung ",21031546,"1001449",3563365267,"20.02.2015","Simona Sammali"
"25.08.2015","Mail von Frau Schönthal vom 16. März 2015: 
Wie angetönt wünschen wir keine zusätzlichen Ergänzungen (Rubrik, Suchbegriff, Schlagwort, etc.) zu unseren bisherigen Eintragungen. 
Darf ich Sie bitten, uns zu bestätigen, dass die uns in Rechnung gestellten Zusätze „zurück mutiert“ wurden und somit der Rechnungsbetrag auf der Swisscom-Rechnung von CHF 4‘471.85 nun hinfällig wird?
Sobald die Mutationen bei Ihnen erledigt worden sind, wünschen wir eine Übersicht unserer Eintragungen mit den anfallenden Kosten und wann diese fällig werden? Wir haben im Moment Einträge von Filialen, da kommen die Rechnungen von Ihnen, Eintragungen die auf der Swisscom-Rechnung erscheinen und alles noch zu unterschiedlichen Perioden. Wir möchten einen Überblick und eine Vereinheitlichung dieser Rechnungsposten.
sie wünscht nur per mail folgende informationen.
publikationsgebühren 2013 + eintragssituation 2013
publikationsgebühren 2014 + eintragssituation 2014
Rechnungen 2013 und 2014
Siehe Kommunikation eintragssitutation nicht möglich da keine Verschickt wurde. Eintragssituation jedoch nicht möglich!
Bitte Kundin kontaktieren und Situation klären.

Stufe 2 ",1,"Product","Closed","Rechnung EI 4471.85",21037470,"1002215",3710255043,"20.03.2015","Claudine Lovis"
"23.06.2015","gem. Tel mit Herr Hukic, Kunde hat RG für Aufnahmegebühren erhalten. Er ist damit nicht einverstanden da er nie etwas unterschreiben hat. ",1,"Bill","Closed","Rechnugskorrektur Swisscom",21040339,"1004685",4198053345,"23.06.2015","Sandra Tomic"
"04.06.2015","Frau Moser meldet sich betreffend der Swisscom Rechnung CHF 90.-- Aufnahme und CHF 33.--. Gemäss Kundin und LCM Mail von Kundin vom 21.05.2015 hat die Einträge rechtzeitig löschen lassen, da sie nicht unter Rubrik
psychologue publizieren kann.

",1,"Bill","Closed","Mit Rechnung nicht einverstanden ",21040612,"1004147",4095438579,"04.06.2015","Ingrid Alvarez"
"","Suite reclamation de client transmis par swisscom (Voir communication)le client avias signalé des modifications dans le delais de 14 jours mais été facturé pour la totalité des la 1e modification.
Suite cliente est d'accord de payer la modification de la 2e modification pas la 1e.
Envoyé à swisscom la correction de facture.OK",1,"Bill","Closed","Reclamation facture",21057970,"1003776",3622084662,"22.05.2015","Bruno De Sousa"
"06.03.2015","reçu mandat de SD Finances pour analyse du dossier.

Annahme: ---",1,"Bill","Closed","Dossier chez Alphapay",21072869,"1001170",3512511623,"12.02.2015","Chantal Bourdon"
"21.05.2015","Selon tél avec Mr. Picovalente , doit annuler toutes ses inscriptions chez local.ch et faire une nouvelle facture Swisscom sans facturation local.ch 73.70 hors taxe / montant total 79.60. Mr. Picovalente a déjà 
des inscriptions sous search.ch et ne voit pas l'utilité encore chez local.ch ",1,"Bill","Closed","Rechnungskorrektur",21073861,"1003723",4004117178,"21.05.2015","Chantha Leng"
"","Gem Tel Herr Del Degan will er eine neuen Standort eintragen lassen jedoch ist er nicht nach Eintragsregeln.Jedoch wurden alle anderen Standorte falsch erstellt.
Er will den Ei genau so haben und ist sauer weil er alle EI bis jetzt so erstellen konnte.Im HR tritt er anders auf als auf der Homepage, die EI wurden aber nochmals anders er stellt.
Die Gratis EI sind unter RU eingetragen und gleiche Telnummer sind mehrere male Gratis Eingetragen(z.B: 031 380 10 70).
Habe den Fall mit Dani Odermatt angeschaut und er sagte das ich eine Beschwerde eröffnen soll zur Berreinigung und weiteren Bearbeitung.
Es ist schon eine Woche her seit er sich gemeldet hat bei uns wegen abklärung und seinem neue Eintrag.Es sollte so schnell wie möglich abgeklärt werden.

Herr Del Degan ist erreichbar unter 044 317 90 09

2.7.2015 Gem E-mail von heute hat sich Herr Del Degan nochmals gemeldet und möchte so schnell wie möglich eine Antwort.",1,"Service","Closed","Eintragssituation nicht konform zu Regelwerk",21083625,"1004948",4238993252,"02.07.2015","Adrian Utz"
"16.06.2015","gem mails siehe anhang- kundin hat mahnung erhalten- sie will diese nicht bezahlen- und wünscht storno der rechnung sowie der mahnung- danke fürs klären",1,"Bill","Closed","kundin hat mahnung bekommen- sie will mahnung storno",21086024,"1004367",4140668062,"12.06.2015","Martina Neuhaus"
"29.04.2015","Hallo Zusammen 

Bitte sofort Mahnstopp für Publi gebühren vom Januar einleiten, Herr Arslan gibt Geschäft auf gibt neuen Inhaber nun wird abgeklärt wer die Rechnung dann bezahlt. Herr Arslan 
Meldet sich im Mai wieder bei mir. ",1,"Publication","Closed","Mahnstopp",21097375,"1002589",3827048769,"13.04.2015","Stefania Staropoli"
"","gem: tel mit Herr Arslan, will er die jetztige RG nicht begleichen, da er  mit unserer MA alles besprochen hatte, dass er keine Gebühren für dieses Jahr begleichen müsse. Er verkauft seine Firma und somit habe er dies uns schon so mitgeteilt. Es wurde nichts vermerkt und es ist auch nichts geändert worden. Kunde verlangt die sofortige Löschung aller Einträge so wie die stornierung der Swisscom RG.",1,"Service","Closed","Auskunft",21097375,"1002923",3827048769,"23.04.2015","Paloma Escurriola"
"","Der Kundin Frau Schädler wurden auf der Swisscom-Rechnung (siehe Dokumente) CHF 357.10 verrechnet. Es ist für mich und Ipek nicht nachvollziehbar welche Einträge dies betrifft. Kundin wünscht Erklärung an Email schaedler@igeha.ch

Ich habe folgende Kontonummern gefunden, Betrag stimmt aber nicht überein.

1002224676
1002234801
1004923732
1000911019

Gemäss Absprache von Ipek mit Adi Utz leite ich den Fall an Euch weiter.
",1,"Bill","Closed","Verrechnung auf Swisscom-Rechnung",21104164,"1004834",3265148384,"26.06.2015","Chantal Bourdon"
"06.05.2015","30.04.02015 / Annahme ESK0 /Reto Z.
Der Kunde ist unzufrieden mi der Grösse des 1/2-seitigen Inerat ",1,"Contract","Closed","Unzfrieden mit Inserategrösse",21104887,"1003159",3916169891,"30.04.2015","Reto Zimmermann"
"18.06.2015","Selon courrier du 12 mars 2015 reçu le 18 mars 2015, cliend attend toujours une réponse de notre part concernant le montant
de CHF 274.00 mis en compte sur la facture 200000834604 sous le 024 472 99 40.
Et ne désire plus signer de contrats avec nous.

Annhame: suite appel à M. Moret veut que par écrit. 

Stufe 0

",1,"Bill","Closed","Facture",21129261,"1002423",3265123734,"31.03.2015","Chantal Bourdon"
"15.06.2015","Gem Tel Herr Zur Kirch hat er per ssfe EI erstellt und wurde anschliessend von Rodney Möckli kontaktiert. Er hat ihm gesagt das er diese kostenpflichtigen EI nicht möchte und er dachte diese seien Gratis.
Jedoch wurden die EI erstellt und verrechnet durch BO.Rodney Möckli hat sich mit dem Kunden unterhalten und das Anliegen geklärt, der Kunde möchte die Neu Aufnahemen nicht und auch nicht bezahlen.",1,"Bill","Closed","EI wurden erstellt aber nicht gewollt",21136923,"1004459",4153250488,"15.06.2015","Evelyn Frieden"
"09.04.2015","gem: tel von Frau Aregger, wurde Sie nicht über die anfallenden Gebühren informiert. Sie will die Rechnung nicht begleichen und alle Einträge die kosten müssen gelöscht werden.",1,"Publication","Closed","Gebühren nicht erklärt",21142914,"1002551",3808311952,"09.04.2015","Paloma Escurriola"
"","Kopie Complaint:

Gem tel mit Frau Simon muss sie wissen wieso sie im Buch unter der Rubrik Zahnärtzlicher Notfalldienst eingetragen ist. Sie haben nur ein Eintrag unter Zahnarzt. 
die anderen Zahnärzte haben nicht freude das sie unter dieser Rubrik sind da sie dies nicht anbieten. bitte um Abklärung [2014/12/16-TGDSTM31 ]
Kd will noch den Eintrag ändern. dies habe ich aber noch nicht gemacht. (cis) [2014/12/18-TGDSTM31 ] [2014/12/18-TGDSTM31 ]",1,"Publication","Closed","An	Betreff	Gesendet	Größe	Kategorien	 'praxis.sb@bluewin.ch'	Ihre local.ch Einträge	12:33	61 KB		",21144986,"1000789",3439626575,"30.01.2015","Adrian Utz"
"06.03.2015","Kundin hat die Swisscom Rechnung erhalten und war mit unseren Gebühren nicht einverstanden. Sie hat nie eine Bestätigung erhalten. ",1,"Publication","Closed","Preise wurden nicht angegeben und Bestätigung nicht gesendet",21145548,"1001778",3622093076,"04.03.2015","Stefania Staropoli"
"","23.01.2015 Schreiben von Kunde erhalten. Reklamier weil der Aussendienst ihm versprochen hat dass keine weitere Zusatzkosten gibt ausgenommen
der Linkvertrag",1,"Bill","Closed","Einträgegebühren",21150903,"1002410",3764646403,"01.04.2015","Claudine Lovis"
"","herr cathrein immer noch nichts gehört wegen den fehlenden WPs bitte kontaktieren unter 079 451 98 91 ",1,"Product","Closed","WPs fehlen",21155924,"1001433",3518491568,"19.02.2015","Christian Romano"
"30.04.2015","Gem Tel Herr Eterno wurden die Neu Aufnahmen auf seine Private Telnummer verrechnet, sollte aber über die Geschäftsnummer gehen.Sonst kann er es nicht übers Geschäft abrechnen.",1,"Bill","Closed","Kosten auf falscher Telnummer verrechnet",21157379,"1003150",3919224090,"30.04.2015","Evelyn Frieden"
"","gem. tel mit Herr Gadola hat er schon mehrere male angerufen und schon mit verschiedenen MA die Einträge bearbeitet, leider sind die Korrekturen immer noch nicht seinem Wunsch entsprechen erstellt worden. Die RG von 14.60, hatte man versprochen zu stornieren. Er hat wider eine Mahnung erhalten und war auf Grund dieser ziemlich verärgert. Er will die RG nicht begleichen, er will alle Kontrollauszüge und telefonische änderungen will er keine mehr machen.",1,"Publication","Closed","Rechnung nicht storniert",21158315,"1002434",3764637670,"01.04.2015","Paloma Escurriola"
"15.04.2015","Kunde ruft an betreffend RG 200000839868. Er sagt er sei nicht aufgeklärt worden betreffend dem Preis man habe ihm gesagt er solle mehrere Ortschaften nehmen. Habe ihm erklärt dass wir es aber bestätigt haben und er sich nicht
gemeldet hat. Kunde hat nachgeschaut und zwar ist die Mail im Spam gelandet. Kunde will nur noch RU Uhrenatelier in Basel.",1,"Bill","Closed","Kunde mit Rechnung nicht einverstanden",21166128,"1002651",3518485843,"15.04.2015","Giovanna Rakoczi"
"17.04.2015","Selon tél avec Monsieur Ildes du 29.1.2015:
Monsieur Ildes est étonné, car il reçoit le rappel pour la facture 153534, mais qu’il attend depuis l’année passé une réponse de notre part à propos le produit local Logo qui ne figure pas online.

Il dit, qu’il avait appelé plusieurs fois, parce que son logo n’apparaissait pas et il aurait dit qu’il n’est pas prêt de payer pour un produit qui ne fonction même pas.
Les seules cas dans Samba que je vois, dates d’avril et juin 2014, et là ont avaient prolongé le délai de paiement. Il n’y a rien écrit que le logo n’apparait pas.

J’ai informé le client à propos les Infos dans les ""KD-Fall"" et après avoir contrôlé si son logo apparais ou pas - j’ai lui dit que moi je le vois online et qu’il apparait.

Il n’est pas satisfait avec ma réponse, et souhaite une explication – pour quoi il n’a jamais reçu une réponse.
En outre, il veut une solution pour la période dans laquelle le logo ne figuré pas. 

Monsieur Ildes est atteignable sous 079 266 74 08 ou par email m_ildes@hotmail.com 
J’ai bloqué la facture avec ""A"".
",1,"Publication","Closed","local Logo n'aurait pas été en ligne",21171006,"1000791",3439640989,"30.01.2015","Ipek Kaya"
"11.06.2015","11.06.15/Annahme ESK 1:
Gemäss Telefon vom 28.04.15 mit Herr Hasler wollte er den Vertrag-Nr. 3586158 gar nie und ihm 
wurde gesagt, dass dies eine Bestätigung sei, dass die EInträge so weitergeführt werden können und das nichts neues dazu kommt.
Der KD hat dann auf dem Laptop unterschrieben.  Herr Hasler will diesen Vertrag nicht und zudem sei er nicht unterschriftsberechtigt.
Herr Hasler ist unter  032 384 84 84 erreichbar.",1,"Contract","Closed","Fehlende Unterschriftsberechtigung / VT-Nr. 3586158 ",21179779,"1003035",3764873338,"28.04.2015","Gabriela Manser"
"16.02.2015","16.02.15/Annahme ESK 0:
Gemäss Rückmeldung von Kube A. Kunle werde der Banner nicht richtig angezeigt. Nur weisse Umrandung ohne Inhalt. ",1,"Publication","Closed","Banner wird nicht richtig angezeigt / Vertrags-Nr. 3497140",21180822,"1001291",3265111032,"16.02.2015","Gabriela Manser"
"02.03.2015","17.02.15/Annahme ESK 1:
Gemäss Rückmeldung Kube A. Kunle wird der Banner aus VT-Nr. 3497140 über Internet Explorer nicht richtig angezeigt, sondern es erscheint nur ein Umriss. ",1,"Publication","Closed","Banner wird über Internet Explorer nicht angezeigt",21180822,"1001309",3265111032,"17.02.2015","Gabriela Manser"
"14.04.2015","Gemäss Tel Frau Strebel wollte sie die Neuaufnahme der Einträge nicht. Kunde hat sich früh genug gemeldet. ",1,"Publication","Closed","SWIBI - Rechnungskorrektur",21180965,"1002649",3833264973,"14.04.2015","Jasmin Eltrich"
"22.06.2015","Gem tel mit frau strebel geht es um die publi Rg 2015
Sie bekommt 79.60 verrechnet obwohl sie eine Rg Korrektur erhalten hat von einer vorherigen BEschwerde.",1,"Service","Closed","Publigebühr 2015 nicht korrekt",21180965,"1004647",3833264973,"22.06.2015","Martina Neuhaus"
"11.02.2015","10/02/2015 - MonaT. / ESK 0

Der KD meldet sich bei uns.

Herr Lorino hat uns am 05.01.2015 kontaktiert.

Er habe dem beharrlichen Vertreter von LTV mehrmals mitgeteilt, dass er den Vertrag nicht verlängern will.

Die GmbH läuft schlecht und er werde die Firma dieses Jahr liquidieren.

Er beanstandet die Forderung und wird die Schuld nicht begleichen.

",1,"Contract","Closed","Vertäge /eventuelle  Liquidation der Firma",21181004,"1001100",3500215017,"10.02.2015","Mona Trindler"
"18.02.2015","Kundin hat angerufen da sie offene RG hat von 2015 und 2014. Im 2013 hatte man seitens WP VT storniert da Geschäftsaufgabe. Es wurde aber nicht weitergegeben an Sales zum löschen der EI. ",1,"Bill","Closed","EI uwrden nicht gelöscht",21186381,"1001358",3551390647,"18.02.2015","Giovanna Rakoczi"
"","Dossier ouvert en janvier 2015 via samba KdFall 201501692

14.01.2015, julie pouria : Annahme
Mail RL => client a envoyé correction en juillet pour contrat 3171737 et 3488802 mais annonce pour contrat 3488802 pas effectuée
",1,"Publication","Closed","Insertion parue avec le mauvais visuel",21186483,"1003373",3370645673,"08.05.2015","Julie Frei"
"26.02.2015","gem: tel mit kd habe er schon im 2013 alles löschen wollen und das uns auch so gemldet. man habe ihm versichert das alles gelöscht wurde. die firma gibt es nicht mehr. die RG wurde auch im 2013 storniert aber die Einträge nicht.",1,"Publication","Closed","Publikation",21191061,"1001632",3591995494,"26.02.2015","Paloma Escurriola"
"19.06.2015","13/05/2015 - MonaT.  /  ESK 3

Evaluiere die gesammlten Werke, die uns der KD zukommen lässt.

Kundin reklamiert das Inserat in der Ausgabe 525 Schwyz. Dies entspricht nicht der korrekten Vorlage.
Sie will die Rechnung nicht bezahlen.",1,"Service","Closed","Unzufrieden mit der Dienstleistung",21195096,"1003513",3983516355,"13.05.2015","Daniel Odermatt"
"","Gem tel mit Herr Reinle, hat Aussendiensmitarbeiterin Schläfli Floriana Herr Reinle gesagt Sie wird eden Vertrag 3354643 stornieren.
Dafür hat Sie im März 2015 einen Neuen Vertrag mi Hett Reinle abgeschlossen.
Die Bedinungen für den Neuen Vertrag war die stornierung des alten.
Leider ist nicht passiert und herr Reinle bekommt zum alten vertrag Rechnungen.
Habe die Rechnung 235890 gesperrt bis das Anliegen von Herrr Reinle geklärt ist.
Erreichbar unter: 052 338 16 93",1,"Contract","Closed","Vertrag 3354643.002 sollte storniert werden",21197625,"1003065",3265162379,"29.04.2015","Manuela Rittmeyer"
"12.03.2015","Kunde hat angerufen hat externe Verrechnung erhalten. Kudne hatte sich in den 14 Tagen gemeldet aber ZE wurden nicht gelöscht. Erst von mir am 6.3.2015. Will daher betrag nicht zahlen",1,"Bill","Closed","Verrechnung extern",21201658,"1002007",3670721380,"12.03.2015","Giovanna Rakoczi"
"30.03.2015"," Monsieure Jover a applle pour supprrime tous les Inc.BUS peyant . Ils dis que il a jamais tellmant des Insc.
Pour moi, client a jamais reaji. Insc. dejai facture par Swisscom.
s.v.p contacte client et regarde si ce korrekt de les supprrime ou fair une storno de la facture.

Merci 

05.03.2015 Annhame: Pris contact avec M. Jover pour l'informer que je suis en charge du dossier et éclaircir la situation. 

Stufe 0

4 questions 
27.03.2015 10:32 non-rép.
30.03.2015 15:56 non-rép.
fermé le dossier",1,"Bill","Closed","Aufnahmen - Neu ",21203098,"1001556",3585892494,"24.02.2015","Chantal Bourdon"
"09.06.2015","gem fax. von Herr Zürcher hatt er das Kündigungsdatum nicht gesehen und sich beschwerd das der Auftrag nicht korrekt erledigt worden sei.",1,"Service","Closed","Kündigungsdatum nicht gesehen",21204539,"1004250",4120687130,"09.06.2015","Dominic Blum"
"17.02.2015","Frau Meier retourniert die Rechnung für die Publikationsgebühren 2014.
",1,"Bill","Closed","Rechnung",21207904,"1001082",3500212990,"10.02.2015","Adrian Utz"
"24.03.2015","11.02.15/Annahme ESK 1
Gemäss Tel. vom 10.02.15 mit Herr Duschén habe ihm sein Kube err Romero Marcos mitgeteilt, dass er mit dem neuen Vertrag 5.- weniger zahlt als mit dem letzten: Neuer Vertrag 3537623 über CHF 2880.00, alter Vertrag 3436706 über CHF 1430.00.. 
Er ist sehr sauer und fühlt sich betrogen und droht mit dem Anwalt. Logo und Info aus dem neuen Vertrag wurden am 12.01.2015 bezahlt. Bitte klären, merci. ",1,"Contract","Closed","Falsche Preisangaben bei neuem Vertragsabschluss / VT-Nr. 3537623",21214734,"1001112",3265168135,"10.02.2015","Gabriela Manser"
"28.05.2015","gem tel mit herr di matteo akzeptiert er nicht dass die rg 200000846595 einen betrag von 249.80 beträgt, 
habe dem kunden erklärt dass er die änderungen selber online erstellt hat und er schon dort die mutations- und publikationspreise standen
nachdem wurde ihm noch einen kontrollauszug gesendet, auf den er nicht reagiert hat 
habe dem kunde gesagt dass er die rg bezahlen muss

",1,"Service","Closed","will rg nicht bezahlen ",21217586,"1003928",4056042457,"28.05.2015","Luana Marchi"
"","Gerade hätte ich wieder sehr unangenehme gesprech mit Herr Herb.
Fall: 
Herr Herb hat Kostenpflichtigen einträege gehabt die er vor paar monaten gekündigt hat so das er nur noch Gratiseinträege behält. Ich habe ihm mehrmals versucht zu erkläeren das die Kosten die er bekommen hat die kosten für JAHRES publikationsgebühren sind.
Er sagte das ist ihm egal er bezahlt keine rappe er hat das gekündigt. WEiter sagte er Fals wir ihm weiter nerven setzt er seine verbindungen mit Swisscom ein  und löst alles was er bei Swisscom hat und geht zur konkurenz.
Er weigert sich mit allen kräften denn rechnungsbegleichung.
Ich persönlich rate ab vom noch ein anruf zum herr herb weil er sehr angereizt und höchst unfreundlich ist .",1,"Bill","Closed","WIll rechnung nicht bezahlen",21220133,"1004792",4204679774,"25.06.2015","Marcello Conti"
"22.06.2015","Kundin, Frau Cuadra, teilt per E-Mail mit, dass sie eine Rechnung erhalten hätte vom 23.4.2015 über einen Betrag von CHF 970.90 und wünscht zu wissen worum es sich handelt. 
Sie möchte wissen, was dieses Paket alles beinhaltet, siehe Mail unter Dokumente/Kommunikation.

Eine Rechnung über CHF 970.90 habe ich nicht gefunden.
Allerdings wurde laut Beschwerde Nr. 201444756 der Vertrag 3354523 (link) durch Vertrag 3514049 (Website) ersetzt. 
Eine Rechnung wurde sogar gutgeschrieben, da Vertrag ohne ANK storniert wurde.

Gem. Tel. mit Herrn Bein (079 236 37 65), gab er mir die direkt.Nr. 079 678 34 28 von Frau Cuadra Isabella, sie ist jedoch schwer Erreichbar.
",1,"Contract","Closed","Vertragssituation",21228683,"1003492",3977126442,"12.05.2015","Ipek Kaya"
"10.06.2015","Gem tel mit frau frank Inhaber ist verstorben",1,"Bill","Closed","Rechnung storniert",21230583,"1004286",4127947691,"10.06.2015","Sina Geissbühler"
"13.07.2015","27.02.2015 / Annahme ESK1 / Reto Z.

Falleröffnung Customer Care 24.03.2015: 
Herr Panico hat den Vertrag 3550026 verlängert, hat jedoch ausdrücklich gesagt, dass er nur noch local Link verlängern möchte.
Er hat kein Interesse am local Logo und bittet um Storno.

Die Rechnung 221645 betr. Link hat er bereits bezahlt, wird aber die Rechnung 222595 betr. Logo nicht bezahlen.

Erreichbar ist Herr Panico auf 078 879 81 70 oder 056 633 40 00.

Habe die Rechnung 222595 mit A gesperrt.

Vielen Dank für die Abklärung und Grüsse
Ipek",1,"Contract","Closed","Verlängerung local Logo nicht erwünscht",21232044,"1002268",3728685226,"24.03.2015","Reto Zimmermann"
"20.02.2015","Gem tel mit Frau Frei wurden die neuen ZE Bus durch Frau Hodler aufgenommen.
Diese Frau Hodler arbeitet aber gar nicht bei Ihnen- daher sind diese Einträge von Frau Frei nicht erwünscht.
Sie hat schon mal angerufen und gefragt.
",1,"Bill","Closed","Aufnahme nicht gerechtfertigt",21238434,"1001437",3451587714,"20.02.2015","Martina Neuhaus"
"","Gem email und Tel mit Swisscom Tomi Majic muss er für den Kd wissen wer den Auftrag gemacht hatte für die Einträge. Habe Tomi den According vom 2008 gesandt. Jedoch sagt er mir das dies ein Fehler ist.
Moët Hennessy (Suisse) SA ist nicht der Customer scheinbar. sondern die AT&T Global Network Services (dies seht ihr auch im email)
da wir nie eine anfrage hatten wegen der Rg ist dies bis jetzt auch kein thema gewesen das wir local.ch ein falschen customer haben.
Swisscom Tomi erklärte mir das nun der KD rückwirkend bis 2008 alle Gebühren gutgeschrieben bekommen sollte.
Telefon von Tomi Majic ist 058 224 92 38

Selon tél. du 27.01.2015 Tomi Majic ne parle que Anglais et Allemand. Transmis dossier à Claudine pour traitement. ",1,"Bill","Closed","Publikationsrechnung nicht IO",21239801,"1000605",3415621886,"26.01.2015","Martina Neuhaus"
"","gem: tel mit Frau Redalie-Belaieff hat Sie uns schon im 2013 mitgeteilt, dass Sie nicht mehr Berufstätig ist. Sie will die Löschung der Einträge so wie eine Korrektur auf der Swisscom RG. Da Sie Ihrer Ansicht nach alles gemeldet hatte, ist Sie nicht bereit den Betrag zu begleichen.",1,"Bill","Closed","Rechnung",21243227,"1000697",3427638930,"28.01.2015","Paloma Escurriola"
"","15.05.2015, julie frei : Mail de la cliente qui m'envoi le 8.05.2015 en copie pour info lettre envoyée à Swisscom le 5.05.2015. 
Je constate à ce jour que la lettre toujours pas traité donc je fais réclamation pour qu'elle soit pas oublié
Cliente conteste lettre du 27.05.2015 envoyée pour les inscriptions
Je trouve bien un traitement Nx dans lcm mais aucun document archiver
J'ai demandé en février la suppression de toutes les inscirptions pro. cela semble avoir été traité

Merci de contrôler et faire le nécessaire

29.05.2015  Chantal B.
Annhame: réponse par lettre, car reçu le mandat que le 28.05.2015.

Stufe 0 ",1,"Product","Closed","Client mécontent des inscriptions",21253007,"1003555",3580591657,"15.05.2015","Chantal Bourdon"
"12.05.2015","Herr Tomaschett hat angerufen und wollte wissen, warum auf der Swisscom Rechnung Aufnahmegebühren sind. Kunde behauptet, er hat diesen EI nie erstellt i Kunden Center und kenne keinen Herr Stefan Schnyder. ",1,"Publication","Closed","Rechnungskorrektur",21261648,"1003462",3977118249,"12.05.2015","Sandra Tomic"
"12.05.2015","Link des Kunden wurde 2 mal priorisiert, von Local Online Service habe ich die Garantie erhalten dass der Link am 05.05.2015 online ist. 
Schlussendlich muss für beide Einträge von Swiss Law Solutions (Zürich und Walenstadt) der Link http://www.swiss-law-solutions.com online sein. 
Siehe auch Mails des Kunden unter Dokumente.  Da ich bei den zahlreichen Rückrufen des Kunden in Erklärungsnotstand gerate,
leite ich in Absprache mit Lorenz den Fall an Euch weiter. Kunde muss dringendst zurückgerufen werden.",1,"Service","Closed","Fehlerhafte Priorisierung, Produkt nicht online",21263891,"1003314",3751333571,"06.05.2015","Claudine Lovis"
"18.06.2015","gem tel. und schreiben von Herr Zingg, sagt er dass er schon anfangs 2014 die Einträge zur löschung ende 2014 gegeben hat, die Einträge sind gelöscht, und die RG wurd trozdem erstellt.
Es ist aber nicht zu Überprüfen wann die Einträge gelöscht worden sind da werder im LCM noch imNX etwas vermerkt wurde.n.
",1,"Bill","Closed","Kündigung die wir nicht beweisen können",21266777,"1004596",4173392699,"18.06.2015","Dominic Blum"
"01.07.2015","Gem Mail von Frau van der Glas - Reklamiert sie betreffend der Rechnnung Nr.  200000852733 - Sie hat bereits CHF 60.00 für eine Mutation beglichen und meint, dass Sie dies also doppelt bezahlen müsse und will diese nicht begleichen.
wir bekommen nun bereits wieder eine Rechnung und sind damit nicht einverstanden. 

Rg-Nr. 
200000852733, CHF 60.00 - ""Mutation"", welche wir selbstständig (!) vorgenommen hatten - beglichen 08.06.2015
200000862092, CHF 79.60 - noch offen 

Wir bitten Sie, die kostenpflichtigen Einträge zu löschen und die CHF 60.- mit den 79.60 zu begleichen und uns eine Rechnung für die Differenz von 19.60 zu senden. 

Wir erwarten in 
",1,"Bill","Closed","Reklamation RG EP",21268833,"1004924",4233146804,"01.07.2015","Claudia Dabiri"
